CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
619,0,0,42,2,0.0,1,1,1,101348.88,1
608,2,0,41,1,83807.86,1,0,1,112542.58,0
502,0,0,42,8,159660.8,3,1,0,113931.57,1
699,0,0,39,1,0.0,2,0,0,93826.63,0
850,2,0,43,2,125510.82,1,1,1,79084.1,0
645,2,1,44,8,113755.78,2,1,0,149756.71,1
822,0,1,50,7,0.0,2,1,1,10062.8,0
376,1,0,29,4,115046.74,4,1,0,119346.88,1
501,0,1,44,4,142051.07,2,0,1,74940.5,0
684,0,1,27,2,134603.88,1,1,1,71725.73,0
528,0,1,31,6,102016.72,2,0,0,80181.12,0
497,2,1,24,3,0.0,2,1,0,76390.01,0
476,0,0,34,10,0.0,2,1,0,26260.98,0
549,0,0,25,5,0.0,2,0,0,190857.79,0
635,2,0,35,7,0.0,2,1,1,65951.65,0
616,1,1,45,3,143129.41,2,0,1,64327.26,0
653,1,1,58,1,132602.88,1,1,0,5097.67,1
549,2,0,24,9,0.0,2,1,1,14406.41,0
587,2,1,45,6,0.0,1,0,0,158684.81,0
726,0,0,24,6,0.0,2,1,1,54724.03,0
